team1,team2,bayesian_prob_team1,bayesian_prob_team2
Cameroon,Peru,0.614506714746153,0.38549328525384696
Soviet Union,Ghana,0.6925407528057608,0.3074592471942392
Poland,El Salvador,0.7549958894974461,0.24500411050255388
Czech Republic,Italy,0.10792259275160627,0.8920774072483937
Yugoslavia,Angola,0.8062110961356225,0.19378890386437753
Netherlands,Zaire,0.8781362092976538,0.12186379070234621
Togo,Zaire,0.4907417580799314,0.5092582419200686
Norway,Ecuador,0.4248993208028185,0.5751006791971816
Cuba,Canada,0.4863460545268541,0.5136539454731459
Algeria,Costa Rica,0.4344468984768966,0.5655531015231035
Croatia,Germany,0.18245451921507647,0.8175454807849235
Australia,Greece,0.568979013194428,0.431020986805572
Haiti,Morocco,0.3229939336140981,0.6770060663859019
Republic of Ireland,Sweden,0.2639818455864592,0.7360181544135408
Zaire,Austria,0.24009988769000223,0.7599001123099978
Chile,Dutch East Indies,0.7738668558828733,0.2261331441171267
Colombia,German DR,0.6713219045325376,0.3286780954674624
Trinidad and Tobago,Brazil,0.08090554706702768,0.9190944529329723
Canada,Uruguay,0.1535398321840015,0.8464601678159985
Costa Rica,Slovakia,0.6926005965949743,0.3073994034050257
Romania,Mexico,0.2772906345166838,0.7227093654833162
Trinidad and Tobago,Hungary,0.19107424891261976,0.8089257510873802
Spain,El Salvador,0.8481332781581197,0.15186672184188033
Netherlands,South Africa,0.8202480832086416,0.17975191679135838
Serbia,Chile,0.23829141292539446,0.7617085870746055
Ecuador,France,0.21428620150724761,0.7857137984927524
Sweden,Algeria,0.7353244805247175,0.26467551947528245
Ecuador,Bulgaria,0.3604684305566118,0.6395315694433882
Korea Republic,Paraguay,0.5083033747442738,0.4916966252557262
France,Italy,0.4364254462317825,0.5635745537682175
Angola,New Zealand,0.4255073509016607,0.5744926490983393
Cote d'Ivoire,Zaire,0.652329598369167,0.34767040163083296
Korea DPR,Germany,0.10923868389074254,0.8907613161092575
Colombia,Japan,0.47212594548853193,0.5278740545114681
Croatia,Israel,0.7126872881200645,0.28731271187993546
USA,Mexico,0.37805444642484193,0.6219455535751581
Wales,Togo,0.5343828677007276,0.4656171322992724
Netherlands,Turkey,0.8144219872375612,0.1855780127624388
France,Senegal,0.8412522883700564,0.1587477116299436
Germany,Australia,0.8363518315130248,0.16364816848697517
Colombia,Mexico,0.2714067606418994,0.7285932393581006
Portugal,Saudi Arabia,0.6120089823569838,0.38799101764301624
Czechoslovakia,Algeria,0.6221459465781266,0.3778540534218734
Korea Republic,France,0.37212364888587013,0.6278763511141299
Scotland,Nigeria,0.5614398700385365,0.43856012996146354
Kuwait,Poland,0.20568620478504732,0.7943137952149527
United Arab Emirates,Germany,0.08267575770066561,0.9173242422993344
Nigeria,Uruguay,0.3142901577129021,0.685709842287098
China PR,United Arab Emirates,0.523786466939556,0.476213533060444
Northern Ireland,USA,0.2874700537645648,0.7125299462354352
Mexico,Argentina,0.46785932091158833,0.5321406790884117
Jamaica,Uruguay,0.15834310479866412,0.8416568952013359
Costa Rica,Cote d'Ivoire,0.5814487401122372,0.41855125988776276
Netherlands,Italy,0.4580338395461319,0.5419661604538681
Spain,Hungary,0.6084952638116533,0.3915047361883467
Slovakia,Poland,0.24123234424019707,0.7587676557598029
Jamaica,Paraguay,0.21287142778562135,0.7871285722143786
Austria,Korea DPR,0.703226276962721,0.296773723037279
Austria,Northern Ireland,0.6413115981899097,0.3586884018100903
Korea Republic,Bosnia and Herzegovina,0.7820651704887699,0.2179348295112301
Israel,IR Iran,0.3982207056774907,0.6017792943225093
Uruguay,Trinidad and Tobago,0.8444658517878727,0.1555341482121273
IR Iran,Brazil,0.11509286865615503,0.884907131343845
Costa Rica,Ghana,0.575268310027915,0.424731689972085
Israel,Saudi Arabia,0.30504161035211846,0.6949583896478815
Denmark,Angola,0.7042987105077,0.2957012894923
Angola,Slovenia,0.4458954247789246,0.5541045752210754
Egypt,Ghana,0.36198725223607675,0.6380127477639232
Senegal,Haiti,0.5619088510615327,0.43809114893846735
Spain,China PR,0.8593132182176247,0.14068678178237526
Korea DPR,Romania,0.3253650519819092,0.6746349480180909
Tunisia,Senegal,0.6299203196756203,0.37007968032437966
Yugoslavia,Hungary,0.5076647285108873,0.4923352714891127
Canada,Tunisia,0.31759823937795234,0.6824017606220476
Northern Ireland,Turkey,0.518785175492403,0.481214824507597
Chile,Republic of Ireland,0.6295409061663051,0.3704590938336949
Switzerland,Kuwait,0.8053267666330088,0.19467323336699116
Korea Republic,Iran,0.7370401819645963,0.2629598180354037
Northern Ireland,Sweden,0.24139901136854955,0.7586009886314504
Iran,Japan,0.31713163540902156,0.6828683645909784
Trinidad and Tobago,France,0.13178499243592473,0.8682150075640753
Iran,Costa Rica,0.3488039943657914,0.6511960056342085
Zaire,Cameroon,0.21840493244864273,0.7815950675513572
Ukraine,Switzerland,0.23307264991711305,0.7669273500828869
Ecuador,Paraguay,0.3223601677319366,0.6776398322680635
Bolivia,Cuba,0.5779445254080648,0.42205547459193515
Jamaica,Egypt,0.48389282809362677,0.5161071719063732
Tunisia,Bosnia and Herzegovina,0.6604182630690347,0.33958173693096527
Iran,Hungary,0.24758470781114347,0.7524152921888565
Hungary,Slovenia,0.7645242616719029,0.2354757383280971
Germany,Ecuador,0.8581207367858665,0.14187926321413347
Chile,Hungary,0.4441626297948663,0.5558373702051337
Scotland,Hungary,0.4293910105609045,0.5706089894390955
Angola,Greece,0.39445868208466267,0.6055413179153373
Costa Rica,Chile,0.4346386386330694,0.5653613613669306
Soviet Union,Denmark,0.633781148877384,0.366218851122616
Mexico,Bolivia,0.8494037151691683,0.15059628483083165
Peru,Mexico,0.2372350947564606,0.7627649052435395
Angola,Australia,0.33041798926890975,0.6695820107310902
IR Iran,South Africa,0.48393131664804634,0.5160686833519537
