team1,team2
Uruguay,8.0
Korea Republic,1.0
Portugal,2.0
Sweden,1.0
Angola,0.0
Germany,2.0
Germany FR,6.0
Brazil,3.0
Morocco,0.0
Sweden,2.0
Italy,1.0
Korea Republic,2.0
Mexico,1.0
Germany FR,1.0
Peru,0.0
France,3.0
Brazil,1.0
Germany,0.0
Argentina,3.0
Netherlands,2.0
Switzerland,2.0
Germany,2.0
Austria,2.0
Netherlands,0.0
Belgium,2.0
Nigeria,1.0
Paraguay,0.0
Slovakia,0.0
Germany FR,4.0
Germany,1.0
Cameroon,1.0
Colombia,1.0
Argentina,0.0
Brazil,2.0
Argentina,1.0
Japan,1.0
Germany FR,5.0
Sweden,4.0
Italy,2.0
Uruguay,1.0
England,0.0
Yugoslavia,4.0
Italy,0.0
Italy,1.0
Algeria,3.0
Uruguay,0.0
Chile,3.0
Germany,1.0
Czechoslovakia,4.0
England,1.0
Italy,1.0
Denmark,1.0
Argentina,1.0
Slovenia,0.0
Argentina,2.0
Mexico,0.0
Spain,3.0
Romania,2.0
Germany FR,2.0
Netherlands,1.0
Mexico,1.0
Germany FR,2.0
Uruguay,1.0
Sweden,0.0
Australia,3.0
Brazil,1.0
Hungary,4.0
Cameroon,1.0
Belgium,2.0
Peru,4.0
Uruguay,2.0
Brazil,0.0
Peru,3.0
Tunisia,2.0
Germany,0.0
Brazil,2.0
Netherlands,2.0
Brazil,1.0
Spain,2.0
Italy,2.0
Cameroon,1.0
Yugoslavia,1.0
Germany FR,2.0
France,0.0
Ukraine,1.0
Italy,2.0
Denmark,0.0
Germany FR,2.0
Romania,2.0
Brazil,1.0
Hungary,5.0
Hungary,4.0
USA,0.0
Italy,1.0
Brazil,2.0
Netherlands,2.0
Netherlands,0.0
Italy,2.0
Colombia,2.0
Germany,3.0
